#NAME?,"Sorry, the query is too large to fit into the Excel cell. You will not be able to update your table with the .Stat Populator.",,,,,,,
"Dataset: Science,technology and innovation",,,,,,,,
Indicator,,GERD - Total (in '000 local currency),,,,,,
Time,,2013,2014,2015,2016,2017,2018,2019
United Arab Emirates,,..,10268896.36,11772050,12636000,..,19822070.16,..
United Kingdom of Great Britain and Northern Ireland,,28875100,30599600,31626000,33129600,34808600,36512000,..
United Republic of Tanzania,,375512710.2,..,..,..,..,..,..
United States of America,,454823000,476459000,495094000,516590000,548984000,581553000,..
United States Virgin Islands,,..,..,..,..,..,..,..
Uruguay,,3784004.263,4467776.72,5306006.428,6491000,8261138,7666000,..
Uzbekistan,,237635500,286498500,365160100,440285200,470938300,528777500,..
Venezuela (Bolivarian Republic of),,7153647.957,10219216.59,14525302.8,28187302.4,..,..,..
Viet Nam,,13390600000,..,18496100000,..,26368582140,..,..
Zambia,,..,..,..,..,..,..,..
Zimbabwe,,..,..,..,..,..,..,..
Sustainable Development Goal Regions,,..,..,..,..,..,..,..
  World,,..,..,..,..,..,..,..
  Landlocked Developing Countries,,..,..,..,..,..,..,..
  Least Developed Countries,,..,..,..,..,..,..,..
  Small Island Developing States,,..,..,..,..,..,..,..
  Africa (Sub-Saharan) ,,..,..,..,..,..,..,..
  Western Asia and Northern Africa,,..,..,..,..,..,..,..
  Africa (Northern),,..,..,..,..,..,..,..
  Asia (Western),,..,..,..,..,..,..,..
  Asia (Central and Southern),,..,..,..,..,..,..,..
  Asia (Central),,..,..,..,..,..,..,..
  Asia (Southern),,..,..,..,..,..,..,..
  Asia (Eastern and South-eastern),,..,..,..,..,..,..,..
  Asia (Eastern),,..,..,..,..,..,..,..
  Asia (South-eastern),,..,..,..,..,..,..,..
  Latin America and the Caribbean,,..,..,..,..,..,..,..
  Oceania,,..,..,..,..,..,..,..
  Oceania (Australia/New Zealand),,..,..,..,..,..,..,..
  Northern America and Europe,,..,..,..,..,..,..,..
  Europe,,..,..,..,..,..,..,..
  Northern America ,,..,..,..,..,..,..,..
UIS Regions,,..,..,..,..,..,..,..
  World,,..,..,..,..,..,..,..
  Arab States,,..,..,..,..,..,..,..
  Central and Eastern Europe,,..,..,..,..,..,..,..
  Central Asia,,..,..,..,..,..,..,..
  East Asia and the Pacific,,..,..,..,..,..,..,..
  Latin America and the Caribbean,,..,..,..,..,..,..,..
  North America and Western Europe,,..,..,..,..,..,..,..
  South and West Asia,,..,..,..,..,..,..,..
  Sub-Saharan Africa,,..,..,..,..,..,..,..
  Small Island Developing States,,..,..,..,..,..,..,..
World Bank Income Groups,,..,..,..,..,..,..,..
  Low income countries,,..,..,..,..,..,..,..
  Lower middle income countries,,..,..,..,..,..,..,..
  Middle income countries,,..,..,..,..,..,..,..
  Upper middle income countries,,..,..,..,..,..,..,..
  High income countries,,..,..,..,..,..,..,..
Data extracted on 22 Nov 2021 19:56 UTC (GMT) from UIS.Stat,,,,,,,,
Legend:,,,,,,,,
+:,National Estimation,,,,,,,
